,state,puma,emp,emp_alum,emp_steel,emp_tariff,emp_steel_cty_emp_sh,emp_alum_cty_emp_sh,emp_tariff_cty_emp_sh,puma_name,state_abbrev,GEOID10
289,6,7109,46927.0,87.0,130.0,217.0,0.27702601913610503,0.18539433588339335,0.46242035501949835,San Bernardino County (Southwest)--Rialto City,CA,0607109
290,6,7110,42136.0,55.0,198.0,253.0,0.4699069679134232,0.13052971330928423,0.6004366812227074,San Bernardino County (Southwest)--Fontana City (East),CA,0607110
291,6,7111,82772.0,33.0,295.0,328.0,0.3564007152177065,0.039868554583675636,0.3962692698013821,San Bernardino County (Southwest)--Rancho Cucamonga City,CA,0607111
292,6,7112,57205.0,54.0,108.0,162.0,0.1887946857792151,0.09439734288960755,0.28319202866882265,San Bernardino County (Southwest)--Upland & Montclair Cities,CA,0607112
293,6,7113,79357.0,89.0,113.0,202.0,0.14239449575966834,0.11215141701425205,0.25454591277392036,San Bernardino County (Southwest)--Ontario City,CA,0607113
294,6,7114,73483.0,24.0,80.0,104.0,0.10886871793476043,0.032660615380428124,0.14152933331518855,San Bernardino County (Southwest)--Chino & Chino Hills Cities,CA,0607114
295,6,7115,56486.0,116.0,245.0,361.0,0.4337357929398435,0.2053606203307014,0.6390964132705449,San Bernardino County (Southwest)--Fontana City (West),CA,0607115
296,6,7301,102069.0,0.0,11.0,11.0,0.010777023386140748,0.0,0.010777023386140748,San Diego County (Northwest)--Oceanside City & Camp Pendleton,CA,0607301
297,6,7302,48597.0,0.0,36.0,36.0,0.07407864683005123,0.0,0.07407864683005123,"""San Diego County (North & East)--Fallbrook, Alpine & Valley Center""",CA,0607302
298,6,7303,52367.0,0.0,0.0,0.0,0.0,0.0,0.0,San Diego County (Northwest)--Vista City,CA,0607303
299,6,7304,57676.0,0.0,0.0,0.0,0.0,0.0,0.0,San Diego County (Northwest)--Carlsbad City,CA,0607304
300,6,7305,55740.0,0.0,104.0,104.0,0.1865805525654826,0.0,0.1865805525654826,San Diego County (Northwest)--San Marcos & Escondido (West) Cities,CA,0607305
301,6,7306,65707.0,0.0,105.0,105.0,0.15980032568828284,0.0,0.15980032568828284,San Diego County (Northwest)--Escondido City (East),CA,0607306
302,6,7307,53373.0,0.0,64.0,64.0,0.1199108163303543,0.0,0.1199108163303543,"""San Diego County (Central)--Lakeside, Winter Gardens & Ramona""",CA,0607307
303,6,7308,62907.0,0.0,12.0,12.0,0.019075778530211265,0.0,0.019075778530211265,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities,CA,0607308
304,6,7309,83418.0,20.0,34.0,54.0,0.040758589273298326,0.02397564074899902,0.06473423002229735,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities,CA,0607309
305,6,7310,99503.0,0.0,0.0,0.0,0.0,0.0,0.0,San Diego County (West)--San Diego City (Southwest/Central Coastal),CA,0607310
306,6,7311,60777.0,0.0,0.0,0.0,0.0,0.0,0.0,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa),CA,0607311
307,6,7312,61968.0,0.0,0.0,0.0,0.0,0.0,0.0,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights),CA,0607312
