id,emp_alum,emp_steel,emp_tariff,tariff_exp_1,tariff_exp_2,tariff_exp_5,tariff_exp_10,tariff_exp_Infinite,state_name,county_state
42009,0.08317296715483219,0.6963697446100655,0.7795427117648978,0.007312095303361068,0.013053893770518814,0.018065341313526856,0.01874789459299002,0.022366121451539836,PA,"Bedford County, PA"
42011,0.045354966367531196,0.9902330943373889,1.0355880607049202,0.006526570998620786,0.011859495322114394,0.016604511313191257,0.017283244344577457,0.022320155096003505,PA,"Berks County, PA"
42013,0.014445932813279752,0.0998082630735692,0.11425419588684894,0.0028775059353918085,0.006571821928144648,0.010425828947060654,0.011034136772369625,0.011574712513062862,PA,"Blair County, PA"
42015,0.016960651289009497,0.2968113975576662,0.3137720488466757,0.004794112029843368,0.009761045760435308,0.014434993924620002,0.015122054995315453,0.016653878365076463,PA,"Bradford County, PA"
42017,0.044653315831859906,0.19399485889287849,0.23864817472473837,0.0028429045777544656,0.006286561515928416,0.009845175066761233,0.010407407603218108,0.011458168615892685,PA,"Bucks County, PA"
42019,0.4257959602875728,2.431744265662444,2.857540225950017,0.00973193398402009,0.014851396108917883,0.019159875690966076,0.019780188476257992,0.03253673047462459,PA,"Butler County, PA"
42021,0.06179620983246361,1.0196374622356494,1.0814336720681132,0.004924460546924049,0.008679333764078055,0.012459263641091664,0.01304427902185053,0.018247029062189373,PA,"Cambria County, PA"
42023,0.054004926303033496,1.7874313412979623,1.8414362676009959,0.011720647616295493,0.01857532762237209,0.023908070404012206,0.024603660515916885,0.0336379470211274,PA,"Cameron County, PA"
42025,0.0795494320170554,0.4025201260063003,0.4820695580233557,0.0039893997913965345,0.008447509088832067,0.01282918177915173,0.013476317656819553,0.015619814963627679,PA,"Carbon County, PA"
42027,0.060871521391046596,0.1773213884000053,0.2381929097910519,0.0020505620536126683,0.004810439060005187,0.008168139175712222,0.00875316820190986,0.009743483561154157,PA,"Centre County, PA"
42029,0.015573157955862671,0.3240357334496987,0.3396088914055614,0.0024847875642344673,0.005505376435416534,0.008862335181591099,0.009421983612724793,0.01108367120288271,PA,"Chester County, PA"
42031,0.008195109158853997,1.5865731331541335,1.5947682423129876,0.009247398310575795,0.01522771621887033,0.0201549823549805,0.020816316565287575,0.02878343923820303,PA,"Clarion County, PA"
